GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage-report,default,MultiThreading,6,36,0,0,3,10,1,3,1,3
coverage-report,default,StringCases,7,25,1,5,2,8,2,3,1,1
coverage-report,default,FloatCases,11,41,2,10,3,12,3,5,1,1
coverage-report,default,LongCases,3,26,0,6,1,8,1,4,1,1
coverage-report,default,BooleanCases,6,9,1,1,2,4,2,1,1,1
coverage-report,default,ExceptionHandling,3,16,0,0,1,7,1,1,1,1
coverage-report,default,SideEffects,3,18,0,2,1,7,1,3,1,2
coverage-report,default,Recursion,3,18,0,4,1,7,1,4,1,2
coverage-report,default,IntegerCases,3,22,0,6,1,8,1,4,1,1
coverage-report,default,InfiniteLoop,0,13,0,2,0,7,0,2,0,1
coverage-report,default,DoubleCases,11,41,2,10,3,12,3,5,1,1
coverage-report,default,DeadCode,7,17,1,3,2,6,2,2,1,1
coverage-report,tools.aqua.concolic,Verifier,10,14,0,0,5,6,5,6,5,6
