GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage-report,default,StringCases,21,11,5,1,6,4,4,1,1,1
coverage-report,default,URLDecoder01,9,14,1,1,2,6,2,2,1,2
coverage-report,default,FloatCases,26,27,6,6,7,8,7,1,1,1
coverage-report,default,LongCases,14,15,3,3,4,5,4,1,1,1
coverage-report,default,URLDecoder02,9,14,1,1,2,6,2,2,1,2
coverage-report,default,BooleanCases,7,8,1,1,2,4,2,1,1,1
coverage-report,default,Shifting2,14,10,4,2,2,4,4,2,1,2
coverage-report,default,Shifting3,15,10,4,2,2,4,4,2,1,2
coverage-report,default,Shifting,15,9,4,2,3,4,4,2,1,2
coverage-report,default,SideEffects,6,15,1,1,2,6,2,2,1,2
coverage-report,default,Double2Long,12,37,3,3,1,11,4,4,1,4
coverage-report,default,IntegerCases,14,11,3,3,4,5,4,1,1,1
coverage-report,default,StartsWith,5,38,3,3,1,11,3,4,0,4
coverage-report,default,ShortCases,14,11,3,3,4,5,4,1,1,1
coverage-report,default,List2,10,89,2,12,1,21,3,8,1,3
coverage-report,default,DeadCode,7,17,2,2,2,6,3,1,1,1
coverage-report,default,Utils_synthesis,3,9,0,2,1,3,1,3,1,2
coverage-report,default,MultiThreading,6,36,0,0,3,10,1,3,1,3
coverage-report,default,Utils_nondet,3,2,0,0,1,1,1,1,1,1
coverage-report,default,LinkedListEntry,0,3,0,0,0,1,0,1,0,1
coverage-report,default,Radians,8,16,1,1,1,6,2,2,1,2
coverage-report,default,ByteCases,14,11,3,3,4,5,4,1,1,1
coverage-report,default,ArrayIteration01,31,11,7,1,4,4,5,2,1,2
coverage-report,default,ExceptionHandling,7,12,0,0,3,5,1,1,1,1
coverage-report,default,CharCases,18,14,4,4,5,6,5,1,1,1
coverage-report,default,Recursion,15,6,3,1,5,3,4,1,2,1
coverage-report,default,InfiniteLoop,7,6,1,1,4,3,1,1,0,1
coverage-report,default,LinkedList,55,33,6,4,12,10,7,4,4,2
coverage-report,default,Addition01,63,9,14,2,14,4,10,2,2,2
coverage-report,default,BoundCheck100,31,7,9,1,10,4,7,2,2,2
coverage-report,default,OverapproximationString01,6,25,1,1,3,7,1,4,0,4
coverage-report,default,BoundCheck200,31,7,9,1,10,4,7,2,2,2
coverage-report,default,DoubleCases,26,27,6,6,7,8,7,1,1,1
coverage-report,default,FloatClass,12,15,3,1,0,5,3,2,1,2
coverage-report,default,BoundCheck30,31,7,9,1,10,4,7,2,2,2
coverage-report,tools.aqua.concolic,Verifier,3,41,0,0,1,11,1,11,1,11
