GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage-report,default,StringCases,21,11,5,1,6,4,4,1,1,1
coverage-report,default,FloatCases,23,29,6,6,6,9,7,1,1,1
coverage-report,default,LongCases,11,18,3,3,3,6,4,1,1,1
coverage-report,default,BooleanCases,6,9,1,1,2,4,2,1,1,1
coverage-report,default,Shifting2,17,7,5,1,2,4,4,2,1,2
coverage-report,default,Shifting3,18,7,5,1,2,4,4,2,1,2
coverage-report,default,Shifting,9,15,3,3,2,5,4,2,1,2
coverage-report,default,SideEffects,6,15,1,1,2,6,2,2,1,2
coverage-report,default,Double2Long,12,36,3,3,1,11,4,4,1,4
coverage-report,default,IntegerCases,11,14,3,3,3,6,4,1,1,1
coverage-report,default,StartsWith,5,38,3,3,1,11,3,4,0,4
coverage-report,default,List2,13,86,3,11,1,21,4,7,1,3
coverage-report,default,DeadCode,10,14,3,1,2,6,3,1,1,1
coverage-report,default,Utils_synthesis,5,7,1,1,1,3,2,2,1,2
coverage-report,default,MultiThreading,6,36,0,0,3,10,1,3,1,3
coverage-report,default,Utils_nondet,3,2,0,0,1,1,1,1,1,1
coverage-report,default,LinkedListEntry,0,3,0,0,0,1,0,1,0,1
coverage-report,default,Radians,8,15,1,1,1,6,2,2,1,2
coverage-report,default,ExceptionHandling,7,12,0,0,2,6,1,1,1,1
coverage-report,default,Recursion,8,13,2,2,2,6,3,2,1,2
coverage-report,default,InfiniteLoop,7,6,1,1,4,3,1,1,0,1
coverage-report,default,LinkedList,55,33,6,4,12,10,7,4,4,2
coverage-report,default,Addition01,39,33,10,6,7,11,9,3,1,3
coverage-report,default,BoundCheck100,31,7,9,1,10,4,7,2,2,2
coverage-report,default,OverapproximationString01,6,25,1,1,3,7,1,4,0,4
coverage-report,default,BoundCheck200,31,7,9,1,10,4,7,2,2,2
coverage-report,default,DoubleCases,23,29,6,6,6,9,7,1,1,1
coverage-report,default,FloatClass,7,18,2,2,0,5,3,2,1,2
coverage-report,default,BoundCheck30,31,7,9,1,10,4,7,2,2,2
coverage-report,tools.aqua.concolic,Verifier,10,14,0,0,5,6,5,6,5,6
